region,offset_start,offset_end,entropy,zero_ratio,ff_ratio,comp_sig_count,comp_lz77,comp_huffman,comp_rle,ptr_target_count,ptr_ref_sum,string_count,string_bytes,repeated_block_count,arm_bl_target_count,thumb_bl_target_count,classification,confidence
520,0x820000,0x823fff,6.1206,0.1428,0.1254,228,97,103,28,55,117,86,503,329,150,29,zone_compressee_possible,30
521,0x824000,0x827fff,5.6507,0.1727,0.0732,102,45,40,17,74,124,271,3157,434,155,19,zone_compressee_possible,30
522,0x828000,0x82bfff,3.3310,0.6137,0.0240,82,4,29,49,50,61,113,802,535,162,25,structures_repetees_possible,42
523,0x82c000,0x82ffff,5.8162,0.3225,0.0095,141,70,37,34,56,75,180,1054,239,184,57,zone_compressee_possible,30
524,0x830000,0x833fff,5.5167,0.2397,0.0279,157,24,74,59,125,175,64,323,456,139,64,zone_compressee_possible,30
525,0x834000,0x837fff,6.8410,0.1605,0.0083,225,122,66,37,41,50,331,1634,105,148,42,zone_compressee_possible,30
526,0x838000,0x83bfff,5.7318,0.3187,0.0203,226,105,59,62,18,25,193,1032,287,149,38,zone_compressee_possible,30
527,0x83c000,0x83ffff,6.4113,0.0717,0.0167,208,100,61,47,8,8,326,1814,94,148,33,zone_compressee_possible,30
528,0x840000,0x843fff,5.8888,0.2505,0.0472,241,153,52,36,23,53,178,1071,215,137,93,zone_compressee_possible,30
529,0x844000,0x847fff,2.8102,0.6990,0.0019,90,78,6,6,37,42,61,636,637,129,20,structures_repetees_possible,45
530,0x848000,0x84bfff,2.9873,0.6655,0.0010,55,40,7,8,35,37,123,1157,599,175,14,structures_repetees_possible,44
531,0x84c000,0x84ffff,2.9253,0.6761,0.0019,86,78,4,4,35,35,94,903,674,127,11,structures_repetees_possible,47
532,0x850000,0x853fff,2.9014,0.6650,0.0469,89,64,9,16,48,54,75,763,697,134,11,structures_repetees_possible,47
533,0x854000,0x857fff,2.7390,0.6925,0.0016,92,37,39,16,41,44,121,1046,632,125,13,structures_repetees_possible,45
534,0x858000,0x85bfff,2.7326,0.6724,0.0000,129,62,18,49,34,34,124,1242,653,119,13,structures_repetees_possible,46
535,0x85c000,0x85ffff,3.0717,0.6587,0.0012,99,94,5,0,35,35,82,582,625,131,16,structures_repetees_possible,45
536,0x860000,0x863fff,3.0420,0.6732,0.0037,59,25,3,31,47,49,66,512,674,128,13,structures_repetees_possible,47
537,0x864000,0x867fff,2.8968,0.6738,0.0024,30,0,0,30,53,198,105,919,688,122,19,structures_repetees_possible,47
538,0x868000,0x86bfff,3.0238,0.6690,0.0046,75,21,9,45,36,36,134,1265,759,107,14,structures_repetees_possible,49
539,0x86c000,0x86ffff,2.9488,0.6542,0.0346,111,13,28,70,33,33,104,816,781,112,12,structures_repetees_possible,50
540,0x870000,0x873fff,2.7955,0.6823,0.0001,108,7,33,68,47,56,96,652,718,123,10,structures_repetees_possible,48
541,0x874000,0x877fff,4.1146,0.5294,0.0128,112,35,52,25,42,70,80,642,413,121,18,zone_compressee_possible,30
542,0x878000,0x87bfff,4.2362,0.4885,0.0260,50,20,21,9,4,4,0,0,153,131,15,zone_indeterminee,10
543,0x87c000,0x87ffff,5.4775,0.2322,0.1461,200,29,78,93,157,215,22,103,440,113,64,zone_compressee_possible,30
544,0x880000,0x883fff,3.0609,0.6720,0.0179,63,12,18,33,73,110,82,543,592,121,9,structures_repetees_possible,44
545,0x884000,0x887fff,5.0257,0.4047,0.0550,88,25,41,22,74,97,146,752,512,121,11,structures_repetees_possible,41
546,0x888000,0x88bfff,4.6475,0.2451,0.2527,69,21,40,8,80,121,155,1279,624,126,23,structures_repetees_possible,45
547,0x88c000,0x88ffff,2.8352,0.6881,0.0211,16,15,1,0,31,36,95,612,649,112,13,structures_repetees_possible,46
548,0x890000,0x893fff,3.3583,0.6173,0.0438,74,15,29,30,53,60,123,882,655,104,31,structures_repetees_possible,46
549,0x894000,0x897fff,3.1481,0.6629,0.0055,110,75,18,17,40,49,118,894,669,119,26,structures_repetees_possible,46
550,0x898000,0x89bfff,1.8753,0.8112,0.0093,122,76,1,45,25,36,58,446,752,132,16,structures_repetees_possible,49
551,0x89c000,0x89ffff,3.1424,0.6547,0.0128,137,18,57,62,35,41,91,572,683,110,32,structures_repetees_possible,47
552,0x8a0000,0x8a3fff,4.1832,0.5182,0.0455,155,23,49,83,76,122,75,456,557,143,59,structures_repetees_possible,43
553,0x8a4000,0x8a7fff,5.4036,0.2833,0.0576,84,23,45,16,52,54,170,1780,353,117,46,zone_indeterminee,10
554,0x8a8000,0x8abfff,6.0395,0.2211,0.0940,89,36,40,13,123,165,63,359,205,132,48,zone_indeterminee,10
555,0x8ac000,0x8affff,6.6703,0.1131,0.0682,139,59,57,23,20,20,158,784,87,126,81,zone_compressee_possible,30
556,0x8b0000,0x8b3fff,5.2120,0.0819,0.3758,110,49,32,29,36,52,109,541,423,118,44,zone_compressee_possible,30
557,0x8b4000,0x8b7fff,5.6898,0.0836,0.2624,202,70,84,48,108,147,45,224,285,171,102,zone_compressee_possible,30
558,0x8b8000,0x8bbfff,6.3671,0.0854,0.1108,236,85,122,29,151,179,73,378,93,115,113,zone_compressee_possible,30
559,0x8bc000,0x8bffff,6.2153,0.0781,0.1597,256,77,106,73,129,139,120,605,165,127,91,zone_compressee_possible,30
560,0x8c0000,0x8c3fff,5.0826,0.1631,0.0182,185,61,72,52,112,123,31,141,394,139,35,zone_compressee_possible,30
561,0x8c4000,0x8c7fff,4.1138,0.3707,0.0081,14,0,11,3,48,52,222,2523,688,159,20,structures_repetees_possible,47
562,0x8c8000,0x8cbfff,5.3501,0.1375,0.2684,126,71,29,26,65,77,27,144,393,145,35,zone_compressee_possible,30
563,0x8cc000,0x8cffff,5.7076,0.1417,0.1215,80,53,6,21,64,77,6,24,155,123,22,zone_indeterminee,10
564,0x8d0000,0x8d3fff,3.2722,0.0624,0.6197,35,12,7,16,27,43,18,90,646,119,42,structures_repetees_possible,46
565,0x8d4000,0x8d7fff,0.6660,0.8837,0.0103,0,0,0,0,3,3,0,0,1023,126,14,structures_repetees_possible,58
566,0x8d8000,0x8dbfff,1.3095,0.5994,0.3286,0,0,0,0,1,1,0,0,1024,124,17,structures_repetees_possible,58
567,0x8dc000,0x8dffff,1.1268,0.3034,0.6600,0,0,0,0,3,3,0,0,1023,143,21,structures_repetees_possible,58
568,0x8e0000,0x8e3fff,0.5895,0.8929,0.0000,0,0,0,0,3,3,0,0,1024,127,14,structures_repetees_possible,58
569,0x8e4000,0x8e7fff,1.1935,0.7144,0.1999,0,0,0,0,4,4,0,0,1024,123,19,structures_repetees_possible,58
570,0x8e8000,0x8ebfff,0.5900,0.8928,0.0000,0,0,0,0,3,3,0,0,1024,123,10,structures_repetees_possible,58
571,0x8ec000,0x8effff,1.1937,0.7143,0.1999,0,0,0,0,9,24,0,0,1024,132,5,structures_repetees_possible,58
572,0x8f0000,0x8f3fff,0.5895,0.8929,0.0000,0,0,0,0,1,1,0,0,1024,130,4,structures_repetees_possible,58
573,0x8f4000,0x8f7fff,1.1935,0.7144,0.1999,0,0,0,0,4,5,0,0,1024,110,11,structures_repetees_possible,58
574,0x8f8000,0x8fbfff,0.9396,0.8229,0.0784,0,0,0,0,0,0,0,0,1024,120,5,structures_repetees_possible,58
575,0x8fc000,0x8fffff,-0.0000,0.0000,1.0000,0,0,0,0,2,4,0,0,1024,251,10,padding_probable,85
576,0x900000,0x903fff,4.6003,0.2420,0.2637,219,126,59,34,19,41,0,0,282,140,7,zone_compressee_possible,30
577,0x904000,0x907fff,5.9245,0.0729,0.1932,204,88,97,19,164,193,34,179,190,135,33,zone_compressee_possible,30
578,0x908000,0x90bfff,6.4948,0.0825,0.0894,184,47,101,36,167,197,93,615,84,158,70,zone_compressee_possible,30
579,0x90c000,0x90ffff,6.3248,0.0889,0.1116,205,68,94,43,184,202,81,447,92,128,42,zone_compressee_possible,30
580,0x910000,0x913fff,5.3363,0.2206,0.0787,146,91,19,36,154,197,30,138,89,170,4,zone_compressee_possible,30
581,0x914000,0x917fff,4.9931,0.2053,0.2046,85,51,24,10,107,147,37,168,221,170,7,zone_indeterminee,10
582,0x918000,0x91bfff,4.8732,0.1928,0.2284,91,47,28,16,119,155,15,68,242,167,5,zone_indeterminee,10
583,0x91c000,0x91ffff,5.1575,0.2697,0.0568,146,75,40,31,90,153,16,68,86,139,5,zone_compressee_possible,30
584,0x920000,0x923fff,5.1373,0.1705,0.0200,69,63,4,2,173,196,3,12,38,150,7,zone_indeterminee,10
585,0x924000,0x927fff,5.1330,0.2797,0.0378,93,47,30,16,91,152,16,67,115,194,4,zone_indeterminee,10
586,0x928000,0x92bfff,5.1874,0.2306,0.0936,124,94,16,14,101,172,16,71,130,164,5,zone_compressee_possible,30
587,0x92c000,0x92ffff,0.7521,0.0027,0.9336,19,10,3,6,4,4,0,0,954,170,6,padding_probable,85
588,0x930000,0x933fff,7.0123,0.0542,0.0211,410,137,232,41,23,25,301,1692,14,126,13,zone_compressee_possible,30
589,0x934000,0x937fff,7.0404,0.0678,0.0104,484,143,302,39,14,18,302,1779,9,118,4,zone_compressee_possible,30
590,0x938000,0x93bfff,6.0927,0.0573,0.2427,382,145,194,43,11,12,240,1366,239,135,9,zone_compressee_possible,30
591,0x93c000,0x93ffff,6.8317,0.0691,0.0400,672,147,477,48,12,12,390,2584,63,139,17,table_texte_probable,52
592,0x940000,0x943fff,6.4291,0.1366,0.0310,430,265,109,56,67,82,286,1567,56,143,32,zone_compressee_possible,30
593,0x944000,0x947fff,7.3404,0.0633,0.0103,127,68,44,15,5,5,139,651,0,160,11,zone_compressee_possible,30
594,0x948000,0x94bfff,6.9644,0.0761,0.0202,320,137,150,33,16,16,503,3104,15,207,5,table_texte_probable,58
595,0x94c000,0x94ffff,6.7138,0.1020,0.0428,547,257,223,67,53,57,221,1261,33,149,16,zone_compressee_possible,30
596,0x950000,0x953fff,6.0338,0.1806,0.1060,116,58,50,8,9,506,35,217,99,167,21,zone_compressee_possible,30
597,0x954000,0x957fff,5.8068,0.2247,0.0208,109,97,4,8,2,2,0,0,17,224,7,zone_compressee_possible,30
598,0x958000,0x95bfff,5.0537,0.1711,0.2618,73,57,4,12,2,2,0,0,261,193,10,zone_indeterminee,10
599,0x95c000,0x95ffff,1.5699,0.0216,0.8286,4,0,0,4,3,3,18,111,901,187,7,structures_repetees_possible,54
600,0x960000,0x963fff,4.8761,0.3604,0.0578,85,26,44,15,22,42,90,824,336,178,19,zone_indeterminee,10
601,0x964000,0x967fff,6.3737,0.1176,0.0198,410,215,178,17,410,562,70,285,47,187,42,table_pointeurs_probable,51
602,0x968000,0x96bfff,5.9211,0.1088,0.0134,278,143,123,12,348,375,25,101,17,182,20,table_pointeurs_probable,47
603,0x96c000,0x96ffff,6.4597,0.1280,0.0065,214,104,90,20,211,323,32,130,39,156,12,table_pointeurs_probable,46
604,0x970000,0x973fff,5.6610,0.2098,0.0171,115,49,36,30,118,159,23,113,64,199,26,zone_compressee_possible,30
605,0x974000,0x977fff,5.3848,0.2425,0.0245,127,81,25,21,158,224,34,160,140,189,19,zone_compressee_possible,30
606,0x978000,0x97bfff,5.3431,0.2561,0.0208,140,71,36,33,137,207,30,141,117,194,26,zone_compressee_possible,30
607,0x97c000,0x97ffff,5.1479,0.2875,0.0210,205,127,35,43,95,140,23,105,247,203,25,zone_compressee_possible,30
608,0x980000,0x983fff,5.1633,0.2669,0.0195,129,69,35,25,119,189,24,100,140,206,11,zone_compressee_possible,30
609,0x984000,0x987fff,5.3357,0.2388,0.0263,92,56,25,11,125,198,19,87,224,226,10,zone_indeterminee,10
610,0x988000,0x98bfff,5.4017,0.2518,0.0208,110,51,25,34,127,186,30,142,81,236,9,zone_compressee_possible,30
611,0x98c000,0x98ffff,5.4295,0.2474,0.0265,173,85,46,42,116,173,18,80,65,182,15,zone_compressee_possible,30
612,0x990000,0x993fff,5.1057,0.2941,0.0205,271,141,110,20,141,238,29,134,73,214,17,table_pointeurs_probable,45
613,0x994000,0x997fff,5.1323,0.2849,0.0249,227,58,124,45,105,154,28,121,108,176,13,zone_compressee_possible,30
614,0x998000,0x99bfff,5.3994,0.2553,0.0248,180,91,26,63,149,253,30,125,53,205,12,table_pointeurs_probable,45
615,0x99c000,0x99ffff,5.8002,0.1787,0.0200,173,126,14,33,115,265,22,98,68,201,20,table_pointeurs_probable,45
616,0x9a0000,0x9a3fff,6.3925,0.1316,0.0109,161,55,70,36,350,405,33,147,46,180,36,table_pointeurs_probable,48
617,0x9a4000,0x9a7fff,6.8830,0.0949,0.0111,66,8,41,17,124,133,122,570,0,172,94,zone_indeterminee,10
618,0x9a8000,0x9abfff,6.9969,0.0748,0.0142,70,12,45,13,14,18,218,1039,5,201,116,zone_texte_possible,25
619,0x9ac000,0x9affff,6.9674,0.0591,0.0109,97,35,51,11,102,139,165,779,4,155,48,zone_indeterminee,10
620,0x9b0000,0x9b3fff,6.8308,0.0713,0.0073,82,13,54,15,97,234,130,610,8,170,38,table_pointeurs_probable,45
621,0x9b4000,0x9b7fff,6.9954,0.0738,0.0101,96,11,54,31,44,64,271,1337,4,168,46,zone_texte_possible,25
622,0x9b8000,0x9bbfff,6.9086,0.0638,0.0131,88,13,65,10,51,58,210,974,4,145,48,zone_texte_possible,25
623,0x9bc000,0x9bffff,6.9994,0.0828,0.0084,102,13,71,18,30,31,215,1049,2,152,92,zone_compressee_possible,30
624,0x9c0000,0x9c3fff,6.7930,0.0968,0.0180,132,37,72,23,31,41,119,549,5,150,202,zone_compressee_possible,30
625,0x9c4000,0x9c7fff,6.9536,0.0914,0.0166,32,5,15,12,22,22,118,537,5,150,65,zone_indeterminee,10
626,0x9c8000,0x9cbfff,6.9122,0.0952,0.0140,90,20,55,15,40,41,235,1100,1,191,102,zone_texte_possible,25
627,0x9cc000,0x9cffff,7.0144,0.0790,0.0139,73,19,41,13,7,7,198,923,1,164,67,zone_indeterminee,10
628,0x9d0000,0x9d3fff,6.9186,0.0947,0.0129,47,5,31,11,12,18,218,997,2,159,66,zone_texte_possible,25
629,0x9d4000,0x9d7fff,6.9443,0.0930,0.0134,107,12,81,14,55,60,174,787,5,188,81,zone_compressee_possible,30
630,0x9d8000,0x9dbfff,6.9652,0.0915,0.0145,115,25,62,28,117,119,204,985,3,210,111,zone_compressee_possible,30
631,0x9dc000,0x9dffff,6.9390,0.0891,0.0168,103,25,53,25,24,26,208,989,2,174,105,zone_compressee_possible,30
632,0x9e0000,0x9e3fff,6.9504,0.0857,0.0075,107,16,66,25,37,45,197,953,24,184,70,zone_compressee_possible,30
633,0x9e4000,0x9e7fff,6.8992,0.0995,0.0113,121,38,66,17,20,23,190,895,2,180,111,zone_compressee_possible,30
634,0x9e8000,0x9ebfff,6.9848,0.0827,0.0123,89,6,65,18,35,35,244,1181,2,194,35,zone_texte_possible,25
635,0x9ec000,0x9effff,6.9347,0.0549,0.0095,81,17,55,9,61,64,286,1371,6,249,16,zone_texte_possible,25
636,0x9f0000,0x9f3fff,6.9365,0.0718,0.0155,122,27,81,14,88,104,227,1110,18,197,74,zone_compressee_possible,30
637,0x9f4000,0x9f7fff,6.9673,0.0874,0.0150,100,21,66,13,27,30,157,756,2,199,108,zone_compressee_possible,30
638,0x9f8000,0x9fbfff,6.9714,0.0756,0.0155,108,7,74,27,29,41,273,1405,3,206,32,zone_compressee_possible,30
639,0x9fc000,0x9fffff,6.9485,0.0582,0.0054,73,15,48,10,75,75,300,1504,23,211,27,zone_texte_possible,25
640,0xa00000,0xa03fff,6.8050,0.0871,0.0125,144,19,94,31,95,128,161,764,2,225,55,zone_compressee_possible,30
641,0xa04000,0xa07fff,6.8724,0.1003,0.0157,163,18,100,45,91,94,145,669,7,206,96,zone_compressee_possible,30
642,0xa08000,0xa0bfff,6.9333,0.0833,0.0132,147,22,90,35,108,117,232,1142,3,215,78,zone_compressee_possible,30
643,0xa0c000,0xa0ffff,6.9728,0.0861,0.0103,119,22,82,15,35,35,257,1313,3,217,61,zone_compressee_possible,30
644,0xa10000,0xa13fff,6.7519,0.1341,0.0230,74,24,40,10,22,22,146,653,1,202,101,zone_indeterminee,10
645,0xa14000,0xa17fff,6.7676,0.1121,0.0158,82,8,63,11,20,20,166,815,2,214,95,zone_indeterminee,10
646,0xa18000,0xa1bfff,6.9109,0.1036,0.0100,66,14,42,10,6,7,229,1132,0,210,62,zone_texte_possible,25
647,0xa1c000,0xa1ffff,6.5472,0.1315,0.0146,73,9,52,12,2,2,148,622,36,213,45,zone_indeterminee,10
648,0xa20000,0xa23fff,6.6469,0.0987,0.0166,58,5,45,8,14,45,117,505,39,183,44,zone_indeterminee,10
649,0xa24000,0xa27fff,6.4114,0.1286,0.0103,235,6,220,9,2,2,110,451,21,186,35,zone_compressee_possible,30
650,0xa28000,0xa2bfff,6.8626,0.1016,0.0199,140,10,128,2,3,5,131,616,25,202,47,zone_compressee_possible,30
651,0xa2c000,0xa2ffff,6.7210,0.1168,0.0161,114,28,73,13,1,1,122,562,4,236,115,zone_compressee_possible,30
652,0xa30000,0xa33fff,6.7505,0.1222,0.0170,65,23,38,4,5,5,120,529,5,171,86,zone_indeterminee,10
653,0xa34000,0xa37fff,5.6449,0.0980,0.1479,19,5,12,2,275,337,25,113,10,180,22,table_pointeurs_probable,47
654,0xa38000,0xa3bfff,4.4821,0.1328,0.0131,0,0,0,0,215,258,0,0,70,181,4,table_pointeurs_probable,45
655,0xa3c000,0xa3ffff,4.5144,0.1226,0.0126,0,0,0,0,210,226,0,0,45,213,5,zone_indeterminee,10
656,0xa40000,0xa43fff,4.7319,0.0615,0.2123,1,1,0,0,129,208,0,0,20,281,7,zone_indeterminee,10
657,0xa44000,0xa47fff,4.8761,0.1268,0.0369,0,0,0,0,606,629,0,0,0,212,2,table_pointeurs_probable,52
658,0xa48000,0xa4bfff,4.8533,0.1413,0.0220,9,9,0,0,322,368,0,0,12,246,3,table_pointeurs_probable,47
659,0xa4c000,0xa4ffff,5.2598,0.2126,0.0410,142,96,37,9,525,804,1,4,38,198,13,table_pointeurs_probable,56
660,0xa50000,0xa53fff,3.9346,0.5322,0.0286,46,10,11,25,67,138,8,50,316,239,5,zone_indeterminee,10
661,0xa54000,0xa57fff,5.1989,0.2798,0.0941,23,6,2,15,4,4,11,47,0,184,3,zone_indeterminee,10
662,0xa58000,0xa5bfff,4.7771,0.3137,0.0906,23,4,7,12,4,12,0,0,12,199,8,zone_indeterminee,10
663,0xa5c000,0xa5ffff,4.7148,0.3364,0.0892,11,0,3,8,4,4,2,8,1,225,7,zone_indeterminee,10
664,0xa60000,0xa63fff,4.7950,0.3082,0.0872,14,1,3,10,5,9,1,4,6,198,6,zone_indeterminee,10
665,0xa64000,0xa67fff,4.8660,0.2996,0.0904,22,0,1,21,4,4,0,0,5,214,15,zone_indeterminee,10
666,0xa68000,0xa6bfff,4.5726,0.4434,0.0383,55,28,16,11,118,198,7,46,238,187,16,zone_indeterminee,10
667,0xa6c000,0xa6ffff,5.3969,0.3110,0.0129,48,21,14,13,98,222,9,40,112,255,12,zone_indeterminee,10
668,0xa70000,0xa73fff,5.0201,0.3143,0.0560,30,12,10,8,54,57,1,5,2,270,26,zone_indeterminee,10
669,0xa74000,0xa77fff,5.0999,0.3387,0.0310,98,81,12,5,46,498,9,43,24,322,25,zone_indeterminee,10
670,0xa78000,0xa7bfff,5.1374,0.4241,0.0008,142,79,23,40,10,49,1,17,102,379,26,zone_compressee_possible,30
671,0xa7c000,0xa7ffff,3.0469,0.6656,0.0017,214,106,97,11,113,253,0,0,358,290,12,table_pointeurs_probable,45
672,0xa80000,0xa83fff,6.1188,0.2216,0.0122,398,168,185,45,58,58,338,1904,86,221,12,zone_compressee_possible,30
673,0xa84000,0xa87fff,6.4417,0.0950,0.0366,302,177,73,52,52,55,225,1158,93,248,44,zone_compressee_possible,30
674,0xa88000,0xa8bfff,6.5759,0.0820,0.0214,345,195,99,51,48,57,194,1613,70,205,61,zone_compressee_possible,30
675,0xa8c000,0xa8ffff,7.1167,0.0751,0.0098,284,88,167,29,17,19,316,2150,74,194,33,zone_compressee_possible,30
676,0xa90000,0xa93fff,7.2672,0.0591,0.0093,275,75,171,29,19,21,346,2016,9,181,11,table_texte_probable,50
677,0xa94000,0xa97fff,7.2927,0.0526,0.0150,342,84,242,16,15,17,329,2000,1,191,13,zone_compressee_possible,30
678,0xa98000,0xa9bfff,7.3320,0.0455,0.0225,349,67,254,28,18,18,316,1862,9,199,12,zone_compressee_possible,30
679,0xa9c000,0xa9ffff,7.3928,0.0343,0.0115,297,64,209,24,11,13,292,1643,1,190,15,zone_compressee_possible,30
680,0xaa0000,0xaa3fff,7.3841,0.0438,0.0156,312,59,228,25,23,27,309,1819,9,223,14,zone_compressee_possible,30
681,0xaa4000,0xaa7fff,7.3839,0.0557,0.0108,182,51,117,14,14,16,219,1265,18,210,11,zone_compressee_possible,30
682,0xaa8000,0xaabfff,7.3609,0.0406,0.0191,400,96,268,36,34,695,335,1959,8,228,18,zone_compressee_possible,30
683,0xaac000,0xaaffff,7.1490,0.0464,0.0076,346,89,222,35,20,21,499,3087,123,189,15,table_texte_probable,57
684,0xab0000,0xab3fff,7.0903,0.0500,0.0197,359,63,265,31,17,27,455,2847,29,216,17,table_texte_probable,55
685,0xab4000,0xab7fff,7.2654,0.0496,0.0148,332,91,202,39,24,32,390,2465,37,211,15,table_texte_probable,52
686,0xab8000,0xabbfff,6.6335,0.1888,0.0156,208,46,152,10,16,21,342,2115,155,199,28,table_texte_probable,50
687,0xabc000,0xabffff,3.7781,0.4913,0.0035,1364,2,1362,0,14,15,79,879,550,194,18,structures_repetees_possible,42
688,0xac0000,0xac3fff,3.1100,0.1647,0.0006,5927,0,5927,0,19,19,10,191,990,208,18,structures_repetees_possible,57
689,0xac4000,0xac7fff,2.3992,0.2932,0.0001,7154,0,7154,0,15,38,5,32,979,179,29,structures_repetees_possible,57
690,0xac8000,0xacbfff,5.2370,0.3126,0.0103,1537,107,1399,31,72,88,97,540,344,213,45,zone_compressee_possible,30
691,0xacc000,0xacffff,5.0965,0.4114,0.0073,167,123,29,15,85,85,137,1016,229,226,32,zone_compressee_possible,30
692,0xad0000,0xad3fff,3.1650,0.5722,0.0073,7,2,0,5,15,15,127,2078,428,199,10,zone_indeterminee,10
693,0xad4000,0xad7fff,3.9911,0.4263,0.0104,10,2,0,8,13,14,136,2289,577,181,15,structures_repetees_possible,43
694,0xad8000,0xadbfff,3.7622,0.5048,0.0059,10,2,2,6,12,12,106,2211,422,181,16,zone_indeterminee,10
695,0xadc000,0xadffff,3.5852,0.5051,0.0344,2,2,0,0,13,13,59,635,365,215,50,zone_indeterminee,10
696,0xae0000,0xae3fff,3.5184,0.5364,0.0738,96,83,13,0,17,18,64,810,519,218,45,structures_repetees_possible,41
697,0xae4000,0xae7fff,3.5460,0.5479,0.0200,10,2,0,8,10,10,134,1757,402,220,28,zone_indeterminee,10
698,0xae8000,0xaebfff,3.6645,0.5253,0.0292,5,1,0,4,11,11,81,1286,708,225,14,structures_repetees_possible,48
699,0xaec000,0xaeffff,3.6611,0.5359,0.0143,4,4,0,0,11,11,107,1695,476,209,13,structures_repetees_possible,40
700,0xaf0000,0xaf3fff,3.6954,0.4476,0.0173,5,1,0,4,15,15,139,2962,541,165,9,structures_repetees_possible,42
701,0xaf4000,0xaf7fff,4.0886,0.3768,0.0151,11,2,0,9,11,11,140,3101,497,197,8,structures_repetees_possible,41
702,0xaf8000,0xafbfff,3.8964,0.3602,0.0211,5,2,2,1,12,12,94,1791,648,191,10,structures_repetees_possible,46
703,0xafc000,0xafffff,3.8594,0.4872,0.0171,31,1,2,28,10,10,157,1839,522,161,4,structures_repetees_possible,41
704,0xb00000,0xb03fff,3.4429,0.5129,0.0141,8,2,0,6,18,18,118,1896,636,179,2,structures_repetees_possible,45
705,0xb04000,0xb07fff,3.4238,0.5693,0.0242,8,3,1,4,12,12,80,858,510,191,8,structures_repetees_possible,41
706,0xb08000,0xb0bfff,3.6149,0.5233,0.0277,4,2,1,1,11,12,119,1333,396,181,25,zone_indeterminee,10
707,0xb0c000,0xb0ffff,3.5241,0.5420,0.0143,6,1,1,4,11,11,109,1094,409,189,11,zone_indeterminee,10
708,0xb10000,0xb13fff,6.6771,0.1519,0.0149,187,116,53,18,23,27,141,694,85,208,4,zone_compressee_possible,30
709,0xb14000,0xb17fff,5.5917,0.3076,0.0184,76,42,22,12,26,31,168,2041,203,208,17,zone_indeterminee,10
710,0xb18000,0xb1bfff,5.4382,0.3273,0.0187,57,36,11,10,103,104,116,1463,353,207,5,zone_indeterminee,10
711,0xb1c000,0xb1ffff,5.6395,0.2836,0.0273,242,135,71,36,68,75,236,1657,305,208,35,zone_compressee_possible,30
712,0xb20000,0xb23fff,5.1167,0.3470,0.0309,101,40,36,25,44,57,26,189,173,223,5,zone_compressee_possible,30
713,0xb24000,0xb27fff,4.0757,0.4484,0.0000,59,0,41,18,66,86,0,0,5,243,8,zone_indeterminee,10
714,0xb28000,0xb2bfff,4.8105,0.2978,0.2142,80,11,60,9,29,53,29,132,233,221,31,zone_indeterminee,10
715,0xb2c000,0xb2ffff,-0.0000,0.0000,1.0000,0,0,0,0,1,1,0,0,1024,233,7,padding_probable,85
716,0xb30000,0xb33fff,-0.0000,0.0000,1.0000,0,0,0,0,22,28,0,0,1024,187,3,padding_probable,85
717,0xb34000,0xb37fff,-0.0000,0.0000,1.0000,0,0,0,0,9,9,0,0,1024,214,2,padding_probable,85
718,0xb38000,0xb3bfff,-0.0000,0.0000,1.0000,0,0,0,0,5,5,0,0,1024,171,3,padding_probable,85
719,0xb3c000,0xb3ffff,-0.0000,0.0000,1.0000,0,0,0,0,1,1,0,0,1024,177,4,padding_probable,85
720,0xb40000,0xb43fff,-0.0000,0.0000,1.0000,0,0,0,0,6,7,0,0,1024,169,3,padding_probable,85
721,0xb44000,0xb47fff,-0.0000,0.0000,1.0000,0,0,0,0,1,2,0,0,1024,178,1,padding_probable,85
722,0xb48000,0xb4bfff,-0.0000,0.0000,1.0000,0,0,0,0,2,2,0,0,1024,183,14,padding_probable,85
723,0xb4c000,0xb4ffff,-0.0000,0.0000,1.0000,0,0,0,0,1,1,0,0,1024,188,8,padding_probable,85
724,0xb50000,0xb53fff,5.4651,0.2596,0.0866,98,45,15,38,338,412,22,134,84,181,7,table_pointeurs_probable,48
725,0xb54000,0xb57fff,5.7488,0.1619,0.0619,192,21,62,109,265,364,32,224,276,184,3,table_pointeurs_probable,47
726,0xb58000,0xb5bfff,5.3996,0.2327,0.0549,99,19,26,54,143,180,31,194,1,174,4,zone_indeterminee,10
727,0xb5c000,0xb5ffff,5.6980,0.1348,0.0384,120,43,13,64,183,216,55,331,0,206,3,zone_compressee_possible,30
728,0xb60000,0xb63fff,5.2645,0.2813,0.0998,116,57,12,47,297,369,18,104,0,166,12,table_pointeurs_probable,47
729,0xb64000,0xb67fff,4.6735,0.4194,0.0197,87,39,34,14,67,82,40,279,0,181,17,zone_indeterminee,10
730,0xb68000,0xb6bfff,5.6723,0.1762,0.0335,213,48,16,149,83,104,28,139,0,201,25,zone_compressee_possible,30
731,0xb6c000,0xb6ffff,5.8673,0.1809,0.0397,328,43,148,137,99,117,46,313,0,183,16,zone_compressee_possible,30
732,0xb70000,0xb73fff,3.9814,0.5020,0.0266,58,25,19,14,59,77,45,372,0,197,22,zone_indeterminee,10
733,0xb74000,0xb77fff,5.3332,0.2546,0.0602,156,91,22,43,122,149,38,270,0,187,30,zone_compressee_possible,30
734,0xb78000,0xb7bfff,4.9008,0.0364,0.0171,228,14,45,169,25,30,78,512,0,176,33,zone_compressee_possible,30
